"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.fr/maps/place/CBE+-+CONCEPT+BOIS+EXCELLENCE/data=!4m7!3m6!1s0x61ddeb8a23bc4679:0x615fa0f00cba3d2!8m2!3d43.4044443!4d6.3801656!16s%2Fg%2F11sdz9spxy!19sChIJeUa8I4rr3WER0qPLAA_6FQY?authuser=0&hl=fr&rclk=1","CBE - CONCEPT BOIS EXCELLENCE","5,0","(1)","Menuisier","","·","Fermé","· Ouvre à 08:00 lun.","","06 73 50 24 06","https://www.concept-bois-excellence.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Les côtes ont été prises en décembre pour une pose complète en février."""
"https://www.google.fr/maps/place/BL+Menuiserie/data=!4m7!3m6!1s0x12c9c14ef6375baf:0x2bdeb7f76f1b0520!8m2!3d43.292409!4d5.3687959!16s%2Fg%2F11ynkp11nz!19sChIJr1s39k7ByRIRIAUbb_e33is?authuser=0&hl=fr&rclk=1","BL Menuiserie","5,0","(7)","Menuisier","·","8 Rue du Chantier","Fermé","· Ouvre à 08:00 sam.","·","07 66 05 95 37","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellente menuiserie, travail sérieux et soigné"""
"https://www.google.fr/maps/place/Share-Wood+Marseille/data=!4m7!3m6!1s0x12c9c1e90d77c4a1:0x7c4e32a227cb504f!8m2!3d43.3166799!4d5.3892242!16s%2Fg%2F11gy747hqm!19sChIJocR3DenByRIRT1DLJ6IyTnw?authuser=0&hl=fr&rclk=1","Share-Wood Marseille","4,4","(11)","Menuisier","·","·","Ouvert 24h/24","","·","04 65 43 03 00","http://www.share-wood.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je l'ai aient déjà recommandé."""
"https://www.google.fr/maps/place/Menuiserie+MUNOS/data=!4m7!3m6!1s0x12c9c0c66cf1651b:0xaeefaf6e68717079!8m2!3d43.2918759!4d5.3686157!16s%2Fg%2F11gb4103z7!19sChIJG2XxbMbAyRIReXBxaG6v764?authuser=0&hl=fr&rclk=1","Menuiserie MUNOS","5,0","(5)","Atelier de menuiserie","·","·","Fermé","· Ouvre à 09:00 lun.","·","06 12 13 28 01","https://www.facebook.com/menuiseriemunos","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande vivement !!!"""
"https://www.google.fr/maps/place/Atelier+Capelan+-+Menuiserie+%2F+Eb%C3%A9nisterie+Marseille/data=!4m7!3m6!1s0x2cf8a1dda7a50841:0xf6c6849c6990dd7!8m2!3d43.3265057!4d5.3658362!16s%2Fg%2F11l750txz8!19sChIJQQilp92h-CwR1w2ZxklobA8?authuser=0&hl=fr&rclk=1","Atelier Capelan - Menuiserie / Ebénisterie Marseille","5,0","(9)","Menuisier","·","Ici, 77 Rue de Lyon","Fermé","· Ouvre à 08:00 sam.","·","06 13 28 06 87","http://ateliercapelan.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A la recherche d'un"
"https://www.google.fr/maps/place/REPAR%27PORTES+-+Menuisier+%C3%A0+Marseille+et+ses+alentours/data=!4m7!3m6!1s0x12c9a5dd2872473b:0x42a2d7a49a4912f1!8m2!3d43.2828182!4d5.38774!16s%2Fg%2F11h3m41qgb!19sChIJO0dyKN2lyRIR8RJJmqTXokI?authuser=0&hl=fr&rclk=1","REPAR'PORTES - Menuisier à Marseille et ses alentours","4,9","(80)","Menuisier","·","Siege sociale :, 51 Rue du Rouet","Fermé","· Ouvre à 09:00 sam.","·","04 51 58 06 79","http://www.reparation-menuiserie-clain.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Autant de qualités très rares dans ce métier."""
"https://www.google.fr/maps/place/Menuiserie+Ebenisterie+Parent+X./data=!4m7!3m6!1s0x12c9b9e1e527db6d:0x8e4cf3977a35e301!8m2!3d43.3344149!4d5.3584026!16s%2Fg%2F11j79ssd0v!19sChIJbdsn5eG5yRIRAeM1epfzTI4?authuser=0&hl=fr&rclk=1","Menuiserie Ebenisterie Parent X.","5,0","(3)","Atelier de menuiserie","·","89 Boul Vialla 18 Av St Saens 13009, 89 Bd Viala","Fermé","· Ouvre à 09:00 lun.","·","06 15 47 14 35","https://www.google.com/search?client=firefox-b-d&q=parent+xavier","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Travail conforme à ma demande et d'une qualité parfaite."""
"https://www.google.fr/maps/place/Artisan+De+La+Fenetre/data=!4m7!3m6!1s0x12c9c09e337ddeab:0x717108b519251a64!8m2!3d43.3014275!4d5.3930143!16s%2Fg%2F11xx6stj9!19sChIJq959M57AyRIRZBolGbUIcXE?authuser=0&hl=fr&rclk=1","Artisan De La Fenetre","4,8","(162)","Magasin de fenêtres en PVC","·","140 Bd de la Libération","Fermé","· Ouvre à 08:00 lun.","·","06 24 24 12 11","https://artisandelafenetre.site-solocal.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Prix raisonnable et travail de qualité."""
"https://www.google.fr/maps/place/Sixieme+Essence+-+Menuiserie+%26+%C3%A9b%C3%A9nisterie/data=!4m7!3m6!1s0x12c9c140167775bd:0x8a1c992376059e0a!8m2!3d43.3034675!4d5.3691917!16s%2Fg%2F11nft7mmlf!19sChIJvXV3FkDByRIRCp4FdiOZHIo?authuser=0&hl=fr&rclk=1","Sixieme Essence - Menuiserie & ébénisterie","","","Menuisier","·","10 Rue Vincent Leblanc","Fermé","· Ouvre à 10:00 lun.","·","06 01 85 37 66","http://www.sixieme-essence.com/","","Site Web","","Itinéraires","",""
"https://www.google.fr/maps/place/Touche+du+bois/data=!4m7!3m6!1s0x12c9c0d1eda76b4f:0xdcab13b8d6033366!8m2!3d43.2867759!4d5.361543!16s%2Fg%2F1tv57x4l!19sChIJT2un7dHAyRIRZjMD1rgTq9w?authuser=0&hl=fr&rclk=1","Touche du bois","5,0","(5)","Menuisier","·","37 Rue du Coteau","","","","06 61 46 72 87","https://www.touchedubois.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nous allons faire appel à lui avec bonheur pour la 3eme fois"""
"https://www.google.fr/maps/place/Parent+Xavier/data=!4m7!3m6!1s0x12c9c0c66df1ea75:0x21ec5da3ed90a034!8m2!3d43.2919787!4d5.3686142!16s%2Fg%2F1td99z9q!19sChIJderxbcbAyRIRNKCQ7aNd7CE?authuser=0&hl=fr&rclk=1","Parent Xavier","5,0","(3)","Menuisier","·","27 Rue Neuve Sainte-Catherine","","","","06 15 47 14 35","","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Atelier+Marion+Aubert+-+Ebeniste+Menuisier/data=!4m7!3m6!1s0x12c9c14144c0286d:0x91bdbdde10db6a80!8m2!3d43.3262882!4d5.3662939!16s%2Fg%2F11shlls__k!19sChIJbSjAREHByRIRgGrbEN69vZE?authuser=0&hl=fr&rclk=1","Atelier Marion Aubert - Ebeniste Menuisier","5,0","(19)","Menuisier","·","77 Rue de Lyon","Fermé","· Ouvre à 09:00 lun.","·","06 41 02 75 03","http://ateliermarionaubert.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande 1000 fois de travailler avec elle !"""
"https://www.google.fr/maps/place/Atelier+Grotte/data=!4m7!3m6!1s0x12c9c1005c7e4e9d:0x8b2889729e6bacbd!8m2!3d43.297522!4d5.3710449!16s%2Fg%2F11xrwv_9pp!19sChIJnU5-XADByRIRvaxrnnKJKIs?authuser=0&hl=fr&rclk=1","Atelier Grotte","5,0","(4)","Menuisier","·","32 Pl. Victor Gélu","","","","","https://www.instagram.com/ateliergrotte","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super collectif de"
"https://www.google.fr/maps/place/Les+Menuisiers+Marseillais/data=!4m7!3m6!1s0x12c9c1a61cdbc713:0x9e9b9be101981005!8m2!3d43.3062846!4d5.4015113!16s%2Fg%2F11t1cvfk0v!19sChIJE8fbHKbByRIRBRCYAeGbm54?authuser=0&hl=fr&rclk=1","Les Menuisiers Marseillais","5,0","(157)","Magasin de fenêtres en PVC","·","14 Rue de la Conception","Fermé","· Ouvre à 09:00 lun.","·","04 88 60 66 03","http://www.lesmenuisiersmarseillais.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nous sommes très satisfaits de la prestation des"
"https://www.google.fr/maps/place/L%27Expert+Fen%C3%AAtre+Azur+Alu+S%C3%A9curit%C3%A9/data=!4m7!3m6!1s0x12c9bf541432e641:0xe23a73b335f23634!8m2!3d43.285248!4d5.530134!16s%2Fg%2F1tx75kv_!19sChIJQeYyFFS_yRIRNDbyNbNzOuI?authuser=0&hl=fr&rclk=1","L'Expert Fenêtre Azur Alu Sécurité","4,9","(9)","Magasin de fenêtres en PVC","·","1195 Chemin de la Vallée","Fermé","· Ouvre à 09:00 lun.","·","04 42 71 85 63","https://www.google.fr/aclk?sa=L&ai=DChsSEwjghZfVwsWSAxWfe0ECHaNmM8oYACICCAEQABoCd3M&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuHi_DZ04favuYBi714eO5IxQBL77jOpL-z6nC6QSd2M0GwopJXYw9BoCWAYQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1lNU_wijOG0609M_JGXI3u4pPK7g&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","",""
"https://www.google.fr/maps/place/Cuisinella/data=!4m7!3m6!1s0x12c9c125a28e90ab:0xc1f7b80ef8438e12!8m2!3d43.28489!4d5.386062!16s%2Fg%2F11vj443027!19sChIJq5COoiXByRIREo5D-A6498E?authuser=0&hl=fr&rclk=1","Cuisinella","5,0","(70)","Prestataire de réaménagement de cuisine","·","33 Avenue Jules Cantini","Fermé","· Ouvre à 10:00 sam.","·","04 28 69 38 70","https://www.google.fr/aclk?sa=L&ai=DChsSEwjghZfVwsWSAxWfe0ECHaNmM8oYACICCAEQCBoCd3M&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuDf48q_DgbuKdRRykhm3Fykl_GAYbEdaVenFl-Nb-skjI1NlH0iIjhoCDo8QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2fgCglDmpS2NVEOR98u2DktL9uRQ&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","",""
"https://www.google.fr/maps/place/menuiserie+etp.bodier/data=!4m7!3m6!1s0x12c9c1535af2d119:0xb4d2fc7421eb28f3!8m2!3d43.3253951!4d5.3732621!16s%2Fg%2F11mzcltxqb!19sChIJGdHyWlPByRIR8yjrIXT80rQ?authuser=0&hl=fr&rclk=1","menuiserie etp.bodier","","","Menuisier","·","etp.bordier@gmail.com, 103 Bd Danielle Casanova","Fermé","· Ouvre à 08:00 lun.","·","06 14 77 39 86","","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Atelier+Kodo/data=!4m7!3m6!1s0x12c9c159cea41bfb:0xe33dde7223b7074d!8m2!3d43.3032282!4d5.3909743!16s%2Fg%2F11k560g28t!19sChIJ-xukzlnByRIRTQe3I3LePeM?authuser=0&hl=fr&rclk=1","Atelier Kodo","4,9","(35)","Menuisier","·","76 Rue Jean de Bernardy","Fermé","· Ouvre à 08:30 lun.","·","06 13 98 44 24","http://atelierkodo.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Le rendu est de très bonne qualité, nous sommes pleinement satisfaits"""
"https://www.google.fr/maps/place/La+Menuiserie+Marseillaise/data=!4m7!3m6!1s0x12c9c1c365d75bdb:0x2f90e1eb84ced336!8m2!3d43.3265057!4d5.3658362!16s%2Fg%2F11wvx8t6tb!19sChIJ21vXZcPByRIRNtPOhOvhkC8?authuser=0&hl=fr&rclk=1","La Menuiserie Marseillaise","5,0","(6)","Atelier de menuiserie","·","77 Rue de Lyon","Fermé","· Ouvre à 09:00 lun.","·","06 64 27 17 37","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bref, je ne peux que le recommander chaudement !"""
"https://www.google.fr/maps/place/Atelier+AI+-+Eb%C3%A9nisterie+et+Agencement+Int%C3%A9rieur/data=!4m7!3m6!1s0x12c9c140bbe5e7dd:0xc58524fdc54991f7!8m2!3d43.286491!4d5.3711406!16s%2Fg%2F11h4nl_zz9!19sChIJ3eflu0DByRIR95FJxf0khcU?authuser=0&hl=fr&rclk=1","Atelier AI - Ebénisterie et Agencement Intérieur","5,0","(7)","Atelier de menuiserie","·","6 Rue du Panorama","","","","07 61 57 30 20","https://www.instagram.com/atelierai_bois/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nous sommes ravis et recommandons Atelier AI !"""
"https://www.google.fr/maps/place/ATELIER+BARDET+%26+COO/data=!4m7!3m6!1s0x12c9c06f3a4619b5:0xfc745c0e9d31f21f!8m2!3d43.3306517!4d5.3771515!16s%2Fg%2F1tgtzjgc!19sChIJtRlGOm_AyRIRH_IxnQ5cdPw?authuser=0&hl=fr&rclk=1","ATELIER BARDET & COO","4,4","(8)","Atelier de menuiserie","·","2 Bd Larousse","Fermé","· Ouvre à 07:30 lun.","·","04 91 02 88 78","https://atelier-bardet.fr/","","Site Web","","Itinéraires","",""
"https://www.google.fr/maps/place/Atelier+MAB%C3%89/data=!4m7!3m6!1s0x12c9c1c70b8005e5:0x45737ab5d8bee7c!8m2!3d43.2906024!4d5.3686366!16s%2Fg%2F11vhcrbq7f!19sChIJ5QWAC8fByRIRfO6LXas3VwQ?authuser=0&hl=fr&rclk=1","Atelier MABÉ","5,0","(2)","Atelier de menuiserie","·","Atelier Le Petit Chantier, 30 Rue Petit Chantier","Fermé","· Ouvre à 08:30 lun.","","","https://instagram.com/ateliermabe?igshid=OGQ5ZDc2ODk2ZA==","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bel atelier authentic entre bois et céramique!"""
"https://www.google.fr/maps/place/Atelier+OPC/data=!4m7!3m6!1s0x12c9c09f1ebb3949:0x262f7353809684e3!8m2!3d43.3012973!4d5.3902819!16s%2Fg%2F11ghpp4bbz!19sChIJSTm7Hp_AyRIR44SWgFNzLyY?authuser=0&hl=fr&rclk=1","Atelier OPC","","","Atelier de menuiserie","·","18 Rue Léon Bourgeois","Fermé","· Ouvre à 08:00 lun.","·","06 46 85 03 90","http://atelieropc.fr/","","Site Web","","Itinéraires","",""
"https://www.google.fr/maps/place/SOCI%C3%89T%C3%89+MARAVAL+MARSEILLE+-+RENOVATION+-+FEN%C3%8ATRES+-+STORES/data=!4m7!3m6!1s0x12c9bfb31aa9618d:0xc9e64e365114af63!8m2!3d43.2973397!4d5.4013535!16s%2Fg%2F11clsnm1v9!19sChIJjWGpGrO_yRIRY68UUTZO5sk?authuser=0&hl=fr&rclk=1","SOCIÉTÉ MARAVAL MARSEILLE - RENOVATION - FENÊTRES - STORES","5,0","(405)","Atelier de menuiserie","·","·","Fermé","· Ouvre à 07:00 sam.","·","04 65 27 40 16","http://societemaraval.com/?utm_source=gmb","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande vivement Maraval pour tout travail de menuiserie."""
"https://www.google.fr/maps/place/Pleinsoleils/data=!4m7!3m6!1s0x12c9bf6d4cf91f09:0xd667309465cf3071!8m2!3d43.3040225!4d5.3979841!16s%2Fg%2F11f60xc692!19sChIJCR_5TG2_yRIRcTDPZZQwZ9Y?authuser=0&hl=fr&rclk=1","Pleinsoleils","5,0","(43)","Menuisier","·","·","Fermé","· Ouvre à 08:30 sam.","·","06 07 01 17 19","http://pleinsoleils.fr/?utm_source=gmb","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande largement"""
"https://www.google.fr/maps/place/Albanese+%C3%89b%C3%A9nisterie/data=!4m7!3m6!1s0x12c9bfc2890830a3:0xb23a2aacc77c5035!8m2!3d43.3031811!4d5.4066471!16s%2Fg%2F11rd2crkz9!19sChIJozAIicK_yRIRNVB8x6wqOrI?authuser=0&hl=fr&rclk=1","Albanese Ébénisterie","5,0","(27)","Atelier de menuiserie","·","Imp. Cas","Fermé","· Ouvre à 08:30 lun.","·","06 07 26 65 03","https://www.instagram.com/albaneseebenisterie/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bon"
"https://www.google.fr/maps/place/Menuiserie+du+Ch%C3%AAne+Rouge+%7C+%C3%89b%C3%A9niste/data=!4m7!3m6!1s0x23b87d145cbdf36f:0x1e2166ea51c3490a!8m2!3d43.2957455!4d5.3926795!16s%2Fg%2F11x1zs1z15!19sChIJb_O9XBR9uCMRCknDUepmIR4?authuser=0&hl=fr&rclk=1","Menuiserie du Chêne Rouge | Ébéniste","5,0","(9)","Atelier de menuiserie","·","108 Rue Horace Bertin","Fermé","· Ouvre à 08:00 lun.","·","06 19 75 45 42","http://www.menuiserieduchenerouge.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande à tous ceux qui veulent un travail en menuiserie de qualité."""
"https://www.google.fr/maps/place/David+Chuillet+menuisier/data=!4m7!3m6!1s0x12c9c0c5f1c4aed9:0x1147691b23aaa85f!8m2!3d43.3005205!4d5.3709629!16s%2Fg%2F11f30cr83h!19sChIJ2a7E8cXAyRIRX6iqIxtpRxE?authuser=0&hl=fr&rclk=1","David Chuillet menuisier","5,0","(1)","Menuisier","·","54 Rue de la République","Fermé","· Ouvre à 08:30 lun.","·","06 74 29 32 60","","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Menuiserie+Cinabre/data=!4m7!3m6!1s0x8652aa2c1d75da29:0xbac435c3d8566815!8m2!3d43.298115!4d5.3903388!16s%2Fg%2F11rvbh_qrl!19sChIJKdp1HSyqUoYRFWhW2MM1xLo?authuser=0&hl=fr&rclk=1","Menuiserie Cinabre","5,0","(11)","Menuisier","·","10 boulevard Eugene Pierre, 47 Avenue Burel","Fermé","· Ouvre à 08:00 lun.","·","06 62 38 77 14","https://menuiserie-cinabre.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Une belle rencontre, des échanges très agréables."""
"https://www.google.fr/maps/place/ATELIER+BOIS+DURABLE/data=!4m7!3m6!1s0x12c9bf628dc3e52f:0xce366cdb69fa0f38!8m2!3d43.3066998!4d5.3949961!16s%2Fg%2F11y35_v6rc!19sChIJL-XDjWK_yRIROA_6adtsNs4?authuser=0&hl=fr&rclk=1","ATELIER BOIS DURABLE","3,7","(3)","Fabricant","·","88 Bd Camille Flammarion","","","","","http://atelierboisdurable.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Travail minutieux, de qualité."""
"https://www.google.fr/maps/place/Atelier+Duvernoy/data=!4m7!3m6!1s0x12c9c14d3aaa87b7:0x7db7dc0c38a3208d!8m2!3d43.2952454!4d5.3936075!16s%2Fg%2F11y1nb7g88!19sChIJt4eqOk3ByRIRjSCjOAzct30?authuser=0&hl=fr&rclk=1","Atelier Duvernoy","5,0","(5)","Atelier de menuiserie","·","122 Bd Chave","Fermé","· Ouvre à 08:30 lun.","·","07 49 47 79 10","https://www.atelierduvernoy.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande."""
"https://www.google.fr/maps/place/PICOU+-+mobilier+artisanal+-+menuiserie+%C3%A9b%C3%A9nisterie/data=!4m7!3m6!1s0x12c9c1ad29e81649:0x9991a563fef2bd09!8m2!3d43.31668!4d5.3892242!16s%2Fg%2F11x_63c1xk!19sChIJSRboKa3ByRIRCb3y_mOlkZk?authuser=0&hl=fr&rclk=1","PICOU - mobilier artisanal - menuiserie ébénisterie","5,0","(10)","Fabricant de meubles","·","47 Bd Burel","Fermé","· Ouvre à 08:00 lun.","","","https://bureaupicou.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super"
"https://www.google.fr/maps/place/GIALJO+FERMETURE/data=!4m7!3m6!1s0x12c9c1c7d1cb76bf:0x23f3b3cd00bab774!8m2!3d43.2878695!4d5.3556552!16s%2Fg%2F11xs_k2lwn!19sChIJv3bL0cfByRIRdLe6AM2z8yM?authuser=0&hl=fr&rclk=1","GIALJO FERMETURE","5,0","(65)","Atelier de menuiserie","·","70 Rue Samatan","Ferme bientôt","· 20:00 · Ouvre à 08:00 sam.","·","07 70 67 17 63","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Prix t’es attractif, artisan honnête!"""
"https://www.google.fr/maps/place/Atelier+Berek/data=!4m7!3m6!1s0x12c9c1b70e51bdbf:0x20bca1c070b47edd!8m2!3d43.3166799!4d5.3892242!16s%2Fg%2F11h1k95c35!19sChIJv71RDrfByRIR3X60cMChvCA?authuser=0&hl=fr&rclk=1","Atelier Berek","4,8","(24)","Menuisier","·","47 Bd Burel","Fermé","· Ouvre à 08:30 lun.","·","06 72 26 92 16","http://www.atelierberek.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande fortement !"""
