"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"https://www.google.fr/maps/place/Bmf+Auto/data=!4m7!3m6!1s0x12c9c1ccf9dc558d:0x78a53f8049f8c59d!8m2!3d43.2972051!4d5.3689144!16s%2Fg%2F11v0cbdq6q!19sChIJjVXc-czByRIRncX4SYA_pXg?authuser=0&hl=fr&rclk=1","Bmf Auto","4,5","(17)","Mécanicien","·","7 Imp. Roqueplan","·","Ouvert","· Ferme à 19:30","07 51 44 33 55","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bon petit","","","garage",", mécaniciens compétents et prix très honnêtes."""
"https://www.google.fr/maps/place/Garage+Jules+Guesde/data=!4m7!3m6!1s0x12c9c0ebaadccaf9:0x5c65c316570a141f!8m2!3d43.302596!4d5.3702777!16s%2Fg%2F11b6dpy272!19sChIJ-crcquvAyRIRHxQKVxbDZVw?authuser=0&hl=fr&rclk=1","Garage Jules Guesde","5,0","(2)","Garage automobile","·","61 Rue de la Joliette","","","","04 91 56 02 75","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/Garage+du+Grand+Domaine/data=!4m7!3m6!1s0x12c9c0ead05f8479:0x2d21453809dc6fa0!8m2!3d43.3020146!4d5.3724241!16s%2Fg%2F1v3g6g7q!19sChIJeYRf0OrAyRIRoG_cCThFIS0?authuser=0&hl=fr&rclk=1","Garage du Grand Domaine","4,5","(28)","Garage automobile","·","·","24 Bd des Dames","Fermé","· Ouvre à 08:00 sam.","04 91 90 41 51","https://www.ggdomaine.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","·","Garage","et remorquage au top !!"""
"https://www.google.fr/maps/place/Garage+Saint+Mauront/data=!4m7!3m6!1s0x12c9c08b183b3edd:0x215af1b1903d1eca!8m2!3d43.3163353!4d5.3744836!16s%2Fg%2F113hr8945!19sChIJ3T47GIvAyRIRyh49kLHxWiE?authuser=0&hl=fr&rclk=1","Garage Saint Mauront","4,5","(14)","Atelier de réparation automobile","·","96 Rue Félix Pyat","·","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","04 91 62 69 58","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Un garagiste qui travaille en famille et qui fait honneur à sa profession.""","","","",""
"https://www.google.fr/maps/place/Garage+De+La+Marine/data=!4m7!3m6!1s0x12c9c0c622ad02bf:0x45188c902c30f580!8m2!3d43.2910438!4d5.3692766!16s%2Fg%2F1tfd9nf8!19sChIJvwKtIsbAyRIRgPUwLJCMGEU?authuser=0&hl=fr&rclk=1","Garage De La Marine","4,6","(114)","Garage automobile","·","·","109 Rue Sainte 109 111 113","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","04 91 33 90 20","http://www.garage-renault-marseille.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","·","Garage","top, très serviable, pro, et patient."""
"https://www.google.fr/maps/place/Garage+Chateaubriand/data=!4m7!3m6!1s0x12c9c0d3e889e40d:0xc3c39ff7f7814f1f!8m2!3d43.2855619!4d5.3586015!16s%2Fg%2F11c5rmhjlw!19sChIJDeSJ6NPAyRIRH0-B9_efw8M?authuser=0&hl=fr&rclk=1","Garage Chateaubriand","4,4","(34)","Garage automobile","·","·","68 Rue Châteaubriand","Ferme bientôt","· 19:00 · Ouvre à 10:00 sam.","07 82 26 46 86","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellente prise en charge suite a une panne importante.""","","·","",""
"https://www.google.fr/maps/place/M%C3%A9canique+-+%C3%89lectronique+-+Electricit%C3%A9+Auto+-+A%26T+Autotrade+%E2%80%93+Entretien,+Diagnostic/data=!4m7!3m6!1s0x12c9c1459737fb0b:0xc27656431a907136!8m2!3d43.3037232!4d5.371061!16s%2Fg%2F11lyxrh38r!19sChIJC_s3l0XByRIRNnGQGkNWdsI?authuser=0&hl=fr&rclk=1","Mécanique - Électronique - Electricité Auto - A&T Autotrade – Entretien, Diagnostic","4,7","(19)","Garage automobile","·","44A Rue Montolieu","·","","","07 59 65 75 90","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Un un bon entretien dans l’ensemble du travail service rapide est assuré""","","","",""
"https://www.google.fr/maps/place/Garage+Du+Coteau+-+Citro%C3%ABn/data=!4m7!3m6!1s0x12c9c0d192b2b539:0x80aa52323e37ae52!8m2!3d43.2866597!4d5.3611952!16s%2Fg%2F1tf4hdnd!19sChIJObWyktHAyRIRUq43PjJSqoA?authuser=0&hl=fr&rclk=1","Garage Du Coteau - Citroën","4,7","(86)","Garage automobile","·","41 Rue du Coteau","·","Ferme bientôt","· 18:30 · Ouvre à 08:00 lun.","04 91 31 07 52","https://reseau.citroen.fr/reparateur-marseille-07","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pleinement satisfait
des prestations de ce","","","garage",", et ce à tous les niveaux."""
"https://www.google.fr/maps/place/Garage+Massilia/data=!4m7!3m6!1s0x12c9c0f498941309:0x8a82567295a750a1!8m2!3d43.3149149!4d5.3716604!16s%2Fg%2F11g6m8swnv!19sChIJCROUmPTAyRIRoVCnlXJWgoo?authuser=0&hl=fr&rclk=1","Garage Massilia","","","Atelier de réparation automobile","·","·","428A Bd National","","","04 91 62 37 51","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/GARAGE+OHANIAN+%7C+Garage+auto+Marseille+-+Diagnostic+auto+Marseille+-+Mecan%27Auto/data=!4m7!3m6!1s0x12c9c12ffcbfe415:0x8e88852fe7511128!8m2!3d43.3096926!4d5.3821359!16s%2Fg%2F11y3560gfm!19sChIJFeS__C_ByRIRKBFR5y-FiI4?authuser=0&hl=fr&rclk=1","GARAGE OHANIAN | Garage auto Marseille - Diagnostic auto Marseille - Mecan'Auto","4,8","(58)","Garage automobile","·","5 Rue Henri Auzias","·","Ferme bientôt","· 18:30 · Ouvre à 10:00 sam.","04 86 68 90 50","https://garage-ohanian.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Un","","","garage","super réalisé efficace et travaille bien."""
"https://www.google.fr/maps/place/Garage+Sene/data=!4m7!3m6!1s0x12c9c0604df47b41:0xdee24d6ebf5bc0b1!8m2!3d43.3209161!4d5.3755117!16s%2Fg%2F11c575j9g1!19sChIJQXv0TWDAyRIRscBbv25N4t4?authuser=0&hl=fr&rclk=1","Garage Sene","4,7","(13)","Atelier de réparation automobile","·","50 Bd Ferdinand de Lesseps","·","Ferme bientôt","· 18:30 · Ouvre à 08:00 lun.","046856262","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Au top tellement gentil et sérieux merci""","","","",""
"https://www.google.fr/maps/place/DORIA+MOTORS/data=!4m7!3m6!1s0x12c9c12153995661:0xa875deb13d78275c!8m2!3d43.3078988!4d5.3798664!16s%2Fg%2F11vm9r9kj8!19sChIJYVaZUyHByRIRXCd4PbHedag?authuser=0&hl=fr&rclk=1","DORIA MOTORS","4,9","(69)","Garage automobile","·","·","17 Rue du S et du Père Louis Thérobe","Ferme bientôt","· 18:30 · Ouvre à 08:45 lun.","04 86 77 75 76","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bon travail,","","·","garage","pro et révision offerte, tres satisfaite!"""
"https://www.google.fr/maps/place/GARAGE+DES+MURIERS+-+MARSEILLE/data=!4m7!3m6!1s0x12c9c187d5fdc96f:0xf061646a41457f7b!8m2!3d43.3290293!4d5.3632565!16s%2Fg%2F11h10d9pxd!19sChIJb8n91YfByRIRe39FQWpkYfA?authuser=0&hl=fr&rclk=1","GARAGE DES MURIERS - MARSEILLE","4,6","(27)","Garage automobile","·","·","6 Rue Jean-Marie Chaise","Fermé","· Ouvre à 09:00 sam.","06 19 42 49 62","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","·","Garage","et garagiste très fiable vous pouvez Y aller les yeux fermés."""
"https://www.google.fr/maps/place/Centre+Auto+Car%27s+Design+13+M%C3%A9canique,+Carrosserie,+Bris+de+glace.+Week-end,+ouvert+uniquement+pour+pannes+ou+accidents./data=!4m7!3m6!1s0x12c9c089f3f18845:0x9485ef0dbd9b3628!8m2!3d43.3181375!4d5.3784281!16s%2Fg%2F12lk3c8p1!19sChIJRYjx84nAyRIRKDabvQ3vhZQ?authuser=0&hl=fr&rclk=1","Centre Auto Car's Design 13 Mécanique, Carrosserie, Bris de glace. Week-end, ouvert uniquement pour pannes ou accidents.","4,8","(322)","Atelier de carrosserie automobile","·","·","2 Rue Neuve Sainte-Anne","Ferme bientôt","· 18:30 · Ouvre à 00:00 sam.","04 91 81 82 42","https://carsdesign13.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","·","Garage","fiable et compétant a des prix raisonnables."""
"https://www.google.fr/maps/place/Feu+Vert/data=!4m7!3m6!1s0x12c9ea7e76cd4e0d:0x2cd3dbfeff558249!8m2!3d43.36247!4d5.349424!16s%2Fg%2F11b6dp0fzm!19sChIJDU7Ndn7qyRIRSYJV__7b0yw?authuser=0&hl=fr&rclk=1","Feu Vert","3,8","(1 530)","Garage automobile","·","11 Avenue de saint antoine","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","04 91 65 87 80","https://www.google.fr/aclk?sa=L&ai=DChsSEwjLwb7uscWSAxXwp4MHHSLyO6IYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuBIQ2NkFBExRsrf6G3azJDjkKD1AQYHlPuHBjQlPRWs49HzAptFORxoCJ_oQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3XMnCs2LULdXWWK794LMwEZKZfPg&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/Suzuki+Japasud+Marseille/data=!4m7!3m6!1s0x12c9b8ac6b955555:0x22349164f968dbb8!8m2!3d43.276051!4d5.400254!16s%2Fg%2F1td8fl3h!19sChIJVVWVa6y4yRIRuNto-WSRNCI?authuser=0&hl=fr&rclk=1","Suzuki Japasud Marseille","4,7","(344)","Concessionnaire automobile","·","4 Boulevard des Aciéries","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","04 91 17 71 17","https://www.google.fr/aclk?sa=L&ai=DChsSEwjLwb7uscWSAxXwp4MHHSLyO6IYACICCAEQBRoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuMX0HkttAg6NxRwEUy7NG9gm6wHij_8G6KoCLa8ZBDMD-FX1Y--4ThoCizoQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0vW5GY7lK0zVUnl64lIf_y2mwUWA&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","https://ssl.gstatic.com/images/icons/material/system/2x/close_gm_red600_24dp.png","Livraison","","","",""
"https://www.google.fr/maps/place/carrosserie+2a13/data=!4m7!3m6!1s0x12c9c08cf3e6e97b:0x66f868c82c4fc65c!8m2!3d43.3128632!4d5.3752394!16s%2Fg%2F11g7z5d7j5!19sChIJe-nm84zAyRIRXMZPLMho-GY?authuser=0&hl=fr&rclk=1","carrosserie 2a13","4,8","(109)","Atelier de réparation automobile","·","·","327 Bd National","Ouvert","· Ferme à 20:00","09 80 84 78 41","http://www.carrosserie2a13.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Entreprise très compétente, travaux de qualité !""","","·","",""
"https://www.google.fr/maps/place/Garage+Petros/data=!4m7!3m6!1s0x12c9c0f5b6567621:0xf219f2fb1d58b5b2!8m2!3d43.3173914!4d5.3690871!16s%2Fg%2F1tjwkv7x!19sChIJIXZWtvXAyRIRsrVYHfvyGfI?authuser=0&hl=fr&rclk=1","Garage Petros","4,3","(10)","Garage automobile","·","13 Trav. du Bachas","·","Fermé","· Ouvre à 09:00 lun.","06 18 12 06 97","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Il sera désormais mon","","","garage","pour mes réparations."""
"https://www.google.fr/maps/place/Garage+Bds+Auto/data=!4m7!3m6!1s0x12c9c08b6c89ee71:0x721716860f72e81e!8m2!3d43.3154288!4d5.3747186!16s%2Fg%2F11gg67vpm_!19sChIJce6JbIvAyRIRHuhyD4YWF3I?authuser=0&hl=fr&rclk=1","Garage Bds Auto","4,9","(14)","Atelier de réparation automobile","·","·","72 Rue Félix Pyat","Fermé","· Ouvre à 09:00 lun.","06 13 63 86 29","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bon","","·","garage",""""
"https://www.google.fr/maps/place/Garage+Des+Dunes/data=!4m7!3m6!1s0x12c9c050403e8795:0xaa9484e14dd8cf1e!8m2!3d43.328169!4d5.361199!16s%2Fg%2F11bzz2dfb4!19sChIJlYc-QFDAyRIRHs_YTeGElKo?authuser=0&hl=fr&rclk=1","Garage Des Dunes","5,0","(1)","Atelier de réparation automobile","·","25 Bd Oddo","","","","","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/Garage+MCS/data=!4m7!3m6!1s0x12c9c176ca20b027:0x53c3ab232ce3db5a!8m2!3d43.3092401!4d5.3771106!16s%2Fg%2F11ymrkhlym!19sChIJJ7AgynbByRIRWtvjLCOrw1M?authuser=0&hl=fr&rclk=1","Garage MCS","","","Atelier de carrosserie automobile","·","20 Rue Mathieu Stilatti","","","","06 03 24 18 03","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/Garage+m%C3%A9canique+Salim/data=!4m7!3m6!1s0x12c9c10053f36a55:0x737a403e1aa6213b!8m2!3d43.3052916!4d5.3738031!16s%2Fg%2F11x1n42phc!19sChIJVWrzUwDByRIROyGmGj5AenM?authuser=0&hl=fr&rclk=1","Garage mécanique Salim","5,0","(2)","Atelier de réparation automobile","·","8 Rue du Pasteur Heuzé","·","Fermé","· Ouvre à 08:00 sam.","07 73 19 19 11","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/Garage+Auto+Taddei/data=!4m7!3m6!1s0x12c9c0ce3f243b61:0x5ad2fc5c5c2a6c7f!8m2!3d43.2874326!4d5.3637196!16s%2Fg%2F11gg67w1pv!19sChIJYTskP87AyRIRf2wqXFz80lo?authuser=0&hl=fr&rclk=1","Garage Auto Taddei","5,0","(24)","Atelier de réparation automobile","·","·","39 Rue François Taddei","Fermé","· Ouvre à 08:30 lun.","06 50 79 88 74","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bonne expérience dans ce","","·","garage","."""
"https://www.google.fr/maps/place/Garage+P.P.M+-+Carrosserie+-+M%C3%A9canique/data=!4m7!3m6!1s0x12c9c0f5f12a1d7b:0xdd7acdc095672055!8m2!3d43.3187786!4d5.3687126!16s%2Fg%2F1tf4znvn!19sChIJex0q8fXAyRIRVSBnlcDNet0?authuser=0&hl=fr&rclk=1","Garage P.P.M - Carrosserie - Mécanique","4,4","(14)","Atelier de carrosserie automobile","·","·","23 Rue du Marché","Fermé","· Ouvre à 08:00 lun.","04 91 62 53 94","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Travail soigné et rapide""","","·","",""
"https://www.google.fr/maps/place/Garage+Bon+Secours/data=!4m7!3m6!1s0x12c9c0629326f10f:0xe96a2b2ebaf00a04!8m2!3d43.3199229!4d5.3817889!16s%2Fg%2F1twzyxdm!19sChIJD_Emk2LAyRIRBArwui4rauk?authuser=0&hl=fr&rclk=1","Garage Bon Secours","4,8","(38)","Atelier de mécanique automobile","·","46 Bd Bon Secours","","","","04 91 02 31 54","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""J'ai trouvé ce","","","garage","dans la matinée, la panne a été rapidement détectée ."""
"https://www.google.fr/maps/place/Euro+Garage/data=!4m7!3m6!1s0x12c9c04c56353e5f:0x7f1c5b7c54c1f996!8m2!3d43.3326056!4d5.3547791!16s%2Fg%2F11rbf3k7n5!19sChIJXz41VkzAyRIRlvnBVHxbHH8?authuser=0&hl=fr&rclk=1","Euro Garage","5,0","(4)","Atelier de réparation automobile","","","","","","06 58 39 44 21","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nous sommes arrivés à l'heure et sommes très reconnaissants pour votre aide.""","","","",""
"https://www.google.fr/maps/place/Garage+Levon/data=!4m7!3m6!1s0x12c9c08b02685c13:0xc95c1aab472b4499!8m2!3d43.3167643!4d5.3750473!16s%2Fg%2F1td81ckp!19sChIJE1xoAovAyRIRmUQrR6saXMk?authuser=0&hl=fr&rclk=1","Garage Levon","4,3","(72)","Atelier de carrosserie automobile","·","·","12 Rue Auphan","Fermé","· Ouvre à 08:00 lun.","04 91 05 82 36","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mon assurance m’a envoyé au","","·","garage","Levon suite à un accident."""
"https://www.google.fr/maps/place/Garage+PUGET/data=!4m7!3m6!1s0x12c9c0c802a47289:0x8babc7b75bb7a876!8m2!3d43.289683!4d5.372997!16s%2Fg%2F1thknl5q!19sChIJiXKkAsjAyRIRdqi3W7fHq4s?authuser=0&hl=fr&rclk=1","Garage PUGET","4,1","(54)","Garage automobile","·","·","33 Rue Roux de Brignoles","Fermé","· Ouvre à 08:00 lun.","04 13 25 22 91","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""C’est en tous cas le ressenti de mes expériences avec ce","","·","garage","."""
"https://www.google.fr/maps/place/Garage+Marengo/data=!4m7!3m6!1s0x12c9c0afac090aef:0x4ef1e324d77a49dd!8m2!3d43.2875399!4d5.3860235!16s%2Fg%2F1tg09ly3!19sChIJ7woJrK_AyRIR3Ul61yTj8U4?authuser=0&hl=fr&rclk=1","Garage Marengo","3,4","(384)","Atelier de carrosserie automobile","·","·","89 Rue Marengo","Ouvert","· Ferme à 21:30","04 91 47 90 90","https://www.garagemarengo.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Vraiment je recommande ce","","·","garage","pour leur disponibilité et leur rapidité."""
"https://www.google.fr/maps/place/Garage+Garibaldi/data=!4m7!3m6!1s0x12c9c045c307402d:0xed5cee69927c5307!8m2!3d43.3333763!4d5.3640093!16s%2Fg%2F11mx5hx639!19sChIJLUAHw0XAyRIRB1N8kmnuXO0?authuser=0&hl=fr&rclk=1","Garage Garibaldi","4,0","(8)","Garage automobile","·","237 Rue de Lyon","","","","06 46 25 34 10","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ça fait plaisir de trouver un","","","garage","qui travaille bien !"""
"https://www.google.fr/maps/place/AS+Autos%C3%A9curit%C3%A9+Contr%C3%B4le+Technique/data=!4m7!3m6!1s0x12c9c0e9877ff4df:0x7c7ec70a8e135761!8m2!3d43.3021475!4d5.3676811!16s%2Fg%2F11bwp1m56q!19sChIJ3_R_h-nAyRIRYVcTjgrHfnw?authuser=0&hl=fr&rclk=1","AS Autosécurité Contrôle Technique","4,9","(615)","Centre de contrôle technique","·","·","35 Rue des Phocéens","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","04 91 19 88 10","https://centre-controle-technique.autosecurite.com/provence-alpes-cote-d-azur/bouches-du-rhone/marseille/35-rue-des-phoceens?utm_source=Yext&utm_medium=GMB&y_source=1_NDgwMTY3NDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bon","","·","garage","."""
"https://www.google.fr/maps/place/Garage+des+Facult%C3%A9s/data=!4m7!3m6!1s0x12c9c0911a5ad91b:0xa6c2255614548561!8m2!3d43.3060852!4d5.3804185!16s%2Fg%2F1tg_0l04!19sChIJG9laGpHAyRIRYYVUFFYlwqY?authuser=0&hl=fr&rclk=1","Garage des Facultés","4,1","(8)","Parking","·","30 Rue Léon Gozlan","·","Ouvert 24h/24","","04 91 50 41 91","","","Itinéraires","","","","","","","",""
"https://www.google.fr/maps/place/Garage+Marignan/data=!4m7!3m6!1s0x12c9c0cecdccdc67:0x7b4f168d113dbd3a!8m2!3d43.2874734!4d5.3676441!16s%2Fg%2F1tx17fyc!19sChIJZ9zMzc7AyRIROr09EY0WT3s?authuser=0&hl=fr&rclk=1","Garage Marignan","4,0","(47)","Atelier de réparation automobile","·","23 Rue Marignan","·","Fermé","· Ouvre à 08:00 lun.","04 91 52 29 33","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Prestations de qualité.""","","","",""
"https://www.google.fr/maps/place/O%E2%80%99Garage+Food/data=!4m7!3m6!1s0x12c9c1fb648d5c5d:0x58569f74cc98e819!8m2!3d43.3306022!4d5.3648599!16s%2Fg%2F11hzhw9rrx!19sChIJXVyNZPvByRIRGeiYzHSfVlg?authuser=0&hl=fr&rclk=1","O’Garage Food","4,2","(151)","Restauration rapide","·","171 Rue de Lyon","·","Ouvert","· Ferme à 04:00","07 60 26 38 24","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""J’envois toujours mon mari m’acheter O","","","garage","."""
